opcode, call_count, avg_time_microseconds, min_time_microseconds, max_time_microseconds
1248,1,2.237,2.237,2.237
F633,1,3.297,3.297,3.297
F065,1,3.422,3.422,3.422
A3E9,1,2.226,2.226,2.226
F155,1,3.249,3.249,3.249
6130,1,1.899,1.899,1.899
6000,1,2.532,2.532,2.532
4607,1,2.625,2.625,2.625
3207,1,2.675,2.675,2.675
660F,1,3.693,3.693,3.693
46C0,1,3.139,3.139,3.139
8xyE,1,0.105,0.105,0.105
47EC,1,1.938,1.938,1.938
8765,1,2.842,2.842,2.842
8xy5,1,0.081,0.081,0.081
6930,1,2.027,2.027,2.027
6689,1,2.285,2.285,2.285
8xy6,1,0.153,0.153,0.153
682C,1,1.932,1.932,1.932
8764,1,2.657,2.657,2.657
866E,1,3.192,3.192,3.192
8xy4,1,0.087,0.087,0.087
678C,1,1.838,1.838,1.838
4718,2,2.16,1.989,2.331
A23A,2,1.873,1.765,1.981
5xy0,1,0.106,0.106,0.106
6B0B,3,2.74267,2.089,3.457
F265,1,2.141,2.141,2.141
362B,1,5.26,5.26,5.26
Fx33,1,0.118,0.118,0.118
A20E,2,2.69,2.304,3.076
A22E,1,3.39,3.39,3.39
8666,1,5.357,5.357,5.357
8xy0,1,0.175,0.175,0.175
452A,1,3.846,3.846,3.846
A21A,2,2.397,1.929,2.865
A222,1,2.323,2.323,2.323
DAB4,18,3.63744,2.548,4.904
A206,13,4.57746,1.931,25.16
691B,1,2.467,2.467,2.467
6B06,3,3.06867,2.082,4.16
3001,1,2.422,2.422,2.422
1nnn,17123,0.0897804,0.034,3.123
Fx55,3,0.131333,0.093,0.154
A216,3,3.38167,2.029,6.013
A23E,7,2.85786,2.01,3.479
652A,1,3.536,3.536,3.536
6B1A,3,2.24767,2.097,2.352
8xy1,1,0.172,0.172,0.172
124E,1,7.804,7.804,7.804
668C,2,2.0405,2.011,2.07
6801,1,5.009,5.009,5.009
6A0A,1,3.923,3.923,3.923
662B,1,3.083,3.083,3.083
6778,1,1.675,1.675,1.675
A202,18,2.61617,1.839,3.785
6B10,3,2.79967,2.339,3.165
Annn,70,0.117629,0.052,0.182
8xy2,1,0.083,0.083,0.083
472B,1,2.324,2.324,2.324
6905,1,3.77,3.77,3.77
6A20,1,3.348,3.348,3.348
8763,1,3.365,3.365,3.365
3xkk,4,0.09375,0.079,0.11
00EE,1,0.08,0.08,0.08
A3E8,2,2.139,1.962,2.316
D8B4,18,3.55778,2.256,6.06
13DC,17121,2.54319,1.394,114.69
A212,1,2.402,2.402,2.402
2nnn,1,0.196,0.196,0.196
6xkk,43,0.123116,0.085,0.172
76FF,1,4.815,4.815,4.815
9560,1,4.794,4.794,4.794
8xy3,1,0.087,0.087,0.087
462A,1,2.77,2.77,2.77
A22A,8,2.87263,2.115,3.947
3103,1,2.768,2.768,2.768
66E0,1,2.832,2.832,2.832
671F,2,2.167,1.792,2.542
A21E,3,2.64533,2.205,2.943
6B15,3,2.744,1.983,4.232
4767,1,2.165,2.165,2.165
A232,1,3.061,3.061,3.061
9xy0,1,0.089,0.089,0.089
2242,1,4.895,4.895,4.895
4xkk,11,0.131636,0.086,0.222
EE,1,4.3,4.3,4.3
8762,1,3.816,3.816,3.816
Dxyn,54,0.785481,0.527,1.227
6817,1,2.848,2.848,2.848
7xkk,1,0.098,0.098,0.098
5560,1,5.479,5.479,5.479
A20A,2,3.063,2.899,3.227
6A34,1,2.194,2.194,2.194
A236,2,3.1645,2.254,4.075
4030,1,2.564,2.564,2.564
A226,1,3.877,3.877,3.877
8750,1,5.328,5.328,5.328
D9B4,18,3.65633,2.321,9.72
6B01,3,3.28,2.857,3.682
472A,1,4.165,4.165,4.165
672A,1,2.886,2.886,2.886
87B1,1,4.27,4.27,4.27
6678,2,2.5185,1.903,3.134
